,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
2026,2338943673624461440,355.8260849725011,-24.197702322487995,39.947509045645674,-74.38292480664201,34.4233954319921,2271.3196,1302.51688718914,0.014774223,-2208.534309794636,0.015427157,38.41265,0.9122682,29.047474,29.034061,29.063955,0,-1156.1817551974427,1979.4238878706794
8,2306965202564744064,1.3832841523481234,-37.36774402806293,343.45220870816377,-75.91413912698518,230.09703402875448,6359.301,5633.438087895326,0.026583562,-2334.7212726520424,0.030039242,25.2944,0.15206613,4.3454895,4.344927,4.346428,8,-5349.489464394483,2205.12532006534
0,6553614253923452800,346.5039166796005,-35.8471642082214,5.097226032224704,-65.98769321250967,304.1353692001036,15210.015,6765.995136250774,0.020218689,1330.2852747179845,0.016431512,8.17291,0.14485402,3.2877254,3.2874932,3.2879205,9,-6560.767226003626,-1433.6208334322253
306,6614285855300051840,337.3146183010141,-30.022016820274224,19.086933992975222,-58.77467427949169,63.65194057756435,2390.3647,220.79568106533011,0.024540178,-812.3021533981414,0.019523337,5.5693436,0.1352122,15.702899,15.694394,15.710864,9,-15.56777081818268,708.9665946839007
17,2739689239311660672,357.3066038231343,2.3969179441959985,93.5674666869375,-56.88539645498599,169.21632962255026,6030.9336,992.7203890285491,0.035269726,-968.8064663267655,0.019325616,-71.78523,0.16820572,5.908429,5.907411,5.9094725,11,-909.7196621916494,857.7657578090303
214,2644439955745152512,353.5094798297434,0.17524273262485965,85.5048784692324,-56.96271881781843,71.23393039944308,3106.5205,-993.091286898187,0.02545734,-937.702601927091,0.022047991,-4.9510403,0.22468686,14.02915,14.02565,14.033253,11,1076.0920137350868,826.6618934093558
34,2552925644460225152,12.099107075154986,5.27553944692346,121.51923596363511,-57.58786768411167,134.49484768931154,2326.269,755.893500290751,0.07685196,-1141.719303057953,0.060664717,-10.407027,0.15100408,7.4331474,7.4303727,7.436691,12,-688.7681616991717,990.5041222618763
88,2515037264041041536,33.07959930325112,3.567385154970191,158.4982830507286,-53.624647684387476,95.16060614858952,3857.4338,-1762.4057179489491,0.031431362,-1852.8711000327555,0.021429991,-2.725026,0.3036323,10.504046,10.501853,10.506481,12,1829.5310565405284,1701.6559192366788
1373,4857520536178521344,58.329791898354145,-37.071239871992724,239.2505323195464,-50.61098225333467,39.21850680312761,2175.7844,-408.9104536578057,0.017066646,-1084.5109832809553,0.022992302,22.82759,0.4197676,25.48969,25.479164,25.50181,14,543.0122254235263,1051.1829588230612
5855,5075731366173660032,42.93024502228301,-26.031145434709433,217.5033466485571,-63.14876896730469,24.02456907314504,2139.7817,-6.800096503587298,0.009120215,-827.7739904636421,0.010862633,81.49019,1.3889047,41.57013,41.55208,41.58784,14,140.90186826930787,794.4459660057479
22,4847957293278177024,50.00034361894219,-43.06655252783423,250.73404566404008,-56.06475866970972,165.5242095575573,2112.3093,3035.01731561514,0.0812309,726.9644815849239,0.101254486,87.90039,0.43286318,6.041082,6.0385327,6.044094,15,-2864.9126019980827,-635.0207101762982
