,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
2026,2338943673624461440,355.8260849725011,-24.197702322487995,39.947509045645674,-74.38292480664201,34.4233954319921,2271.3196,1302.51688718914,0.014774223,-2208.534309794636,0.015427157,38.41265,0.9122682,29.047474,29.034061,29.063955,0,-1156.1817551974427,1979.4238878706794
370,4984184825454337408,20.401515762771698,-41.658428768886274,281.8094027552392,-74.2095194635773,59.89744163692075,4230.1255,1239.6468425861772,0.009105099,-455.7948603316328,0.012394861,25.43428,0.19305182,16.68858,16.685152,16.69272,7,-963.9936923210253,312.6046242047548
8,2306965202564744064,1.3832841523481234,-37.36774402806293,343.45220870816377,-75.91413912698518,230.09703402875448,6359.301,5633.438087895326,0.026583562,-2334.7212726520424,0.030039242,25.2944,0.15206613,4.3454895,4.344927,4.346428,8,-5349.489464394483,2205.12532006534
0,6553614253923452800,346.5039166796005,-35.8471642082214,5.097226032224704,-65.98769321250967,304.1353692001036,15210.015,6765.995136250774,0.020218689,1330.2852747179845,0.016431512,8.17291,0.14485402,3.2877254,3.2874932,3.2879205,9,-6560.767226003626,-1433.6208334322253
17,2739689239311660672,357.3066038231343,2.3969179441959985,93.5674666869375,-56.88539645498599,169.21632962255026,6030.9336,992.7203890285491,0.035269726,-968.8064663267655,0.019325616,-71.78523,0.16820572,5.908429,5.907411,5.9094725,11,-909.7196621916494,857.7657578090303
214,2644439955745152512,353.5094798297434,0.17524273262485965,85.5048784692324,-56.96271881781843,71.23393039944308,3106.5205,-993.091286898187,0.02545734,-937.702601927091,0.022047991,-4.9510403,0.22468686,14.02915,14.02565,14.033253,11,1076.0920137350868,826.6618934093558
1262,2646192130603302400,354.22101472989743,1.1641168596892943,87.55835319394075,-56.498760472872966,40.42377619975491,1826.6665,1190.0168973621603,0.025211168,-109.67958601097509,0.017174283,26.153652,0.8421583,24.738396,24.722794,24.753044,11,-1107.0161705252606,-1.361122506760097
88,2515037264041041536,33.07959930325112,3.567385154970191,158.4982830507286,-53.624647684387476,95.16060614858952,3857.4338,-1762.4057179489491,0.031431362,-1852.8711000327555,0.021429991,-2.725026,0.3036323,10.504046,10.501853,10.506481,12,1829.5310565405284,1701.6559192366788
1961,2519329585637068160,30.727661036800804,5.7026750284688426,153.33727092015576,-52.89753066758861,34.81566006709625,2042.2684,2323.6440796879247,0.021173764,-707.824517078172,0.017494883,34.70906,0.42889598,28.70216,28.688278,28.719345,12,-2256.5187410963454,556.6093362820952
1373,4857520536178521344,58.329791898354145,-37.071239871992724,239.2505323195464,-50.61098225333467,39.21850680312761,2175.7844,-408.9104536578057,0.017066646,-1084.5109832809553,0.022992302,22.82759,0.4197676,25.48969,25.479164,25.50181,14,543.0122254235263,1051.1829588230612
